_W8,_W6,_W4,_W10,_W1,_W0,_NF8,_NF6,_NF4,_NF10,_NF1,_NF0,_L8,_L6,_L4,_L10,_L1,_L0,MPM0width,MPM0height,MPM1width,MPM1height,MPM2width,MPM2height,MPM3width,MPM3height,MNM4width,MNM4height,MNM5width,MNM5height,MNM6width,MNM6height,MNM7width,MNM7height,MNM8width,MNM8height,MNM9width,MNM9height,MNM10width,MNM10height,MNM11width,MNM11height
1.0E-6,8.419999999999999E-5,1.84E-5,1.8E-6,2.0E-6,2.88E-5,3.0,7.0,3.0,5.0,3.0,16.0,9.000000000000001E-7,8.9E-7,8.9E-7,1.4299999999999999E-6,3.0E-7,4.5E-7,1.508E-5,4.04E-6,3.3E-6,2.905E-6,3.3E-6,2.905E-6,1.508E-5,4.04E-6,4.7300000000000005E-6,8.37E-6,4.7300000000000005E-6,8.37E-6,9.89E-6,1.4265E-5,9.89E-6,1.4265E-5,5.36E-6,2.57E-6,5.36E-6,2.57E-6,1.101E-5,2.6E-6,1.101E-5,2.6E-6
1.0E-6,8.419999999999999E-5,1.84E-5,1.8E-6,2.0E-6,2.88E-5,3.0,7.0,3.0,5.0,3.0,16.0,9.000000000000001E-7,8.9E-7,8.9E-7,1.4299999999999999E-6,3.0E-7,4.5E-7,1.508E-5,4.04E-6,3.3E-6,2.905E-6,3.3E-6,2.905E-6,1.508E-5,4.04E-6,4.7300000000000005E-6,8.37E-6,4.7300000000000005E-6,8.37E-6,9.89E-6,1.4265E-5,9.89E-6,1.4265E-5,5.36E-6,2.57E-6,5.36E-6,2.57E-6,1.101E-5,2.6E-6,1.101E-5,2.6E-6
1.0E-6,8.19E-5,2.01E-5,5.999999999999999E-6,2.0E-6,2.58E-5,3.0,7.0,1.0,5.0,3.0,16.0,9.000000000000001E-7,1.04E-6,1.33E-6,1.6E-6,3.0E-7,4.5E-7,1.508E-5,3.85E-6,3.3E-6,2.905E-6,3.3E-6,2.905E-6,1.508E-5,3.85E-6,2.59E-6,2.146E-5,2.59E-6,2.146E-5,1.094E-5,1.394E-5,1.094E-5,1.394E-5,5.36E-6,2.57E-6,5.36E-6,2.57E-6,1.0860000000000001E-5,3.44E-6,1.0860000000000001E-5,3.44E-6
1.0E-6,8.41E-5,1.9299999999999998E-5,2.1000000000000002E-6,2.0E-6,2.84E-5,3.0,7.0,3.0,5.0,3.0,13.0,9.6E-7,9.1E-7,1.03E-6,8.9E-7,3.0E-7,5.599999999999999E-7,1.368E-5,4.42E-6,3.3E-6,2.905E-6,3.3E-6,2.905E-6,1.368E-5,4.42E-6,5.15E-6,8.67E-6,5.15E-6,8.67E-6,1.003E-5,1.425E-5,1.003E-5,1.425E-5,5.54E-6,2.57E-6,5.54E-6,2.57E-6,8.31E-6,2.66E-6,8.31E-6,2.66E-6
1.0E-6,8.41E-5,1.9299999999999998E-5,2.1000000000000002E-6,2.0E-6,2.84E-5,3.0,7.0,3.0,5.0,3.0,13.0,9.6E-7,9.1E-7,1.03E-6,8.9E-7,3.0E-7,5.599999999999999E-7,1.368E-5,4.42E-6,3.3E-6,2.905E-6,3.3E-6,2.905E-6,1.368E-5,4.42E-6,5.15E-6,8.67E-6,5.15E-6,8.67E-6,1.003E-5,1.425E-5,1.003E-5,1.425E-5,5.54E-6,2.57E-6,5.54E-6,2.57E-6,8.31E-6,2.66E-6,8.31E-6,2.66E-6
1.0E-6,8.539999999999999E-5,2.03E-5,5.6E-6,1.2E-6,1.85E-5,3.0,7.0,1.0,5.0,3.0,15.0,9.1E-7,1.04E-6,1.35E-6,7.3E-7,3.0E-7,6.3E-7,1.665E-5,3.4700000000000002E-6,3.9E-6,2.64E-6,3.9E-6,2.64E-6,1.665E-5,3.4700000000000002E-6,2.61E-6,2.166E-5,2.61E-6,2.166E-5,1.094E-5,1.444E-5,1.094E-5,1.444E-5,5.39E-6,2.57E-6,5.39E-6,2.57E-6,6.51E-6,3.36E-6,6.51E-6,3.36E-6
1.0E-6,9.03E-5,1.9E-5,1.4E-6,1.2E-6,1.85E-5,3.0,7.0,3.0,5.0,3.0,15.0,8.9E-7,9.000000000000001E-7,1.07E-6,1.1E-6,3.0E-7,5.0E-7,1.47E-5,3.4700000000000002E-6,3.9E-6,2.64E-6,3.9E-6,2.64E-6,1.47E-5,3.4700000000000002E-6,5.27E-6,8.570000000000001E-6,5.27E-6,8.570000000000001E-6,9.96E-6,1.514E-5,9.96E-6,1.514E-5,5.33E-6,2.57E-6,5.33E-6,2.57E-6,9.36E-6,2.52E-6,9.36E-6,2.52E-6
1.0E-6,8.41E-5,1.9299999999999998E-5,2.1000000000000002E-6,2.0E-6,2.84E-5,3.0,7.0,3.0,5.0,3.0,13.0,9.6E-7,9.1E-7,1.03E-6,8.9E-7,3.0E-7,5.599999999999999E-7,1.368E-5,4.42E-6,3.3E-6,2.905E-6,3.3E-6,2.905E-6,1.368E-5,4.42E-6,5.15E-6,8.67E-6,5.15E-6,8.67E-6,1.003E-5,1.425E-5,1.003E-5,1.425E-5,5.54E-6,2.57E-6,5.54E-6,2.57E-6,8.31E-6,2.66E-6,8.31E-6,2.66E-6
1.0E-6,8.539999999999999E-5,2.03E-5,5.6E-6,1.2E-6,1.85E-5,3.0,7.0,1.0,5.0,3.0,15.0,9.1E-7,1.04E-6,1.35E-6,7.3E-7,3.0E-7,6.3E-7,1.665E-5,3.4700000000000002E-6,3.9E-6,2.64E-6,3.9E-6,2.64E-6,1.665E-5,3.4700000000000002E-6,2.61E-6,2.166E-5,2.61E-6,2.166E-5,1.094E-5,1.444E-5,1.094E-5,1.444E-5,5.39E-6,2.57E-6,5.39E-6,2.57E-6,6.51E-6,3.36E-6,6.51E-6,3.36E-6
1.0E-6,9.03E-5,1.9E-5,1.4E-6,1.2E-6,1.85E-5,3.0,7.0,3.0,5.0,3.0,15.0,8.9E-7,9.000000000000001E-7,1.07E-6,1.1E-6,3.0E-7,5.0E-7,1.47E-5,3.4700000000000002E-6,3.9E-6,2.64E-6,3.9E-6,2.64E-6,1.47E-5,3.4700000000000002E-6,5.27E-6,8.570000000000001E-6,5.27E-6,8.570000000000001E-6,9.96E-6,1.514E-5,9.96E-6,1.514E-5,5.33E-6,2.57E-6,5.33E-6,2.57E-6,9.36E-6,2.52E-6,9.36E-6,2.52E-6
